id,region,town,city,price,price_per_meter,area,room_count,oldness,floor_count,has_parking,has_storeroom,has_elevator,has_loan,lat,lon,updated_at
mS~imcs6Y1g=,2,shahrak-gharb,tehran,13000,162,80,1,8,4,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:16.794536+03:30
jO2GhalYe2c=,1,dibaji,tehran,22000,151,145,3,17,5,True,True,True,False,35.796035,51.464864,2023-12-02T15:42:16.794536+03:30
OBVqEhBsKzw=,1,dibaji,tehran,13500,122,110,2,15,2,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:17.153224+03:30
ria7keP17f8=,1,dibaji,tehran,11800,118,100,2,7,1,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:17.442079+03:30
PgJ9poaD5q8=,2,shahrak-gharb,tehran,13790,158,87,2,10,2,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:17.557423+03:30
fBe7E9IkKxs=,1,dibaji,tehran,13000,108,120,2,5,2,True,True,True,False,35.780151,51.45129,2023-12-02T15:42:17.765703+03:30
pEqZQmfqIg0=,1,dibaji,tehran,25000,119,210,3,18,1,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:18.021869+03:30
zWMpFusKB_I=,1,dibaji,tehran,14000,133,105,2,17,5,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:18.071733+03:30
vZ9SORGWSqQ=,1,dibaji,tehran,21750,151,144,3,3,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:18.250104+03:30
gLbWR_gtc6c=,2,shahrak-gharb,tehran,14500,134,108,2,14,2,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:18.328173+03:30
66mv2c1HXdw=,1,dibaji,tehran,15500,114,135,3,14,4,True,True,True,False,35.795319,51.465321,2023-12-02T15:42:18.694391+03:30
Fz4HPhRJM4w=,2,shahrak-gharb,tehran,12200,132,92,2,14,1,True,True,True,False,35.756414,51.375858,2023-12-02T15:42:18.734392+03:30
